index_id;index;read;hit;data_hora
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941234900
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.941734800
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942235300
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
null;null;null;null;2021-10-09T16:08:07.942735100
